"filename", "language", "JavaScript", "Markdown", "Properties", "JSON", "CSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\constants\consoleColors.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\constants\errorCodes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\controllers\courses.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 1, 4, 162
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\controllers\discounts.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 2, 6, 56
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\controllers\payment.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 0, 20, 216
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\controllers\reviews.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 2, 8, 72
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\controllers\subcourses.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 11, 92
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\controllers\user.js", "JavaScript", 234, 0, 0, 0, 0, 0, 0, 28, 6, 268
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\db.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\functions.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\globals.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 1, 3, 46
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\middlewares\errorHandler.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 2, 2, 33
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\middlewares\verifyUser.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\models.js", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 0, 4, 217
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\package-lock.json", "JSON", 0, 0, 0, 7507, 0, 0, 0, 0, 1, 7508
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\routes.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 19, 82
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\server.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 2, 12, 77
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\test.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 5, 11, 35
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\test1.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\utils.js", "JavaScript", 254, 0, 0, 0, 0, 0, 0, 4, 27, 285
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\utils\discounts.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\utils\files.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 1, 3, 50
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\utils\paypal.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 9, 4, 97
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\utils\stripe.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 2, 57
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\backend\utils\user.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\.env", "Properties", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\package-lock.json", "JSON", 0, 0, 0, 29445, 0, 0, 0, 0, 1, 29446
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\package.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 1, 1, 14
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\App.css", "CSS", 0, 0, 0, 0, 133, 0, 0, 6, 9, 148
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 1, 4, 29
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\Context.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 2, 12, 90
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\admin.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Checkbox\Checkbox.css", "CSS", 0, 0, 0, 0, 40, 0, 0, 0, 0, 40
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Checkbox\Checkbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\FileUpload\FileUpload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Footer\Footer.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Footer\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Header\Header.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 4, 51
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Loader\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 7, 58
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Message.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Pop.css", "CSS", 0, 0, 0, 0, 53, 0, 0, 0, 8, 61
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Pop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\ProgressBar\ProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 1, 3, 16
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Scroller\Scroller.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Scroller\Scroller.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\components\Video.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 23, 6, 54
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\controllers.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Admin\Admin.css", "CSS", 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Admin\Admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 373, 0, 2, 20, 395
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Admin\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Admin\Products\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Dashboard\Dashboard.css", "CSS", 0, 0, 0, 0, 167, 0, 0, 0, 12, 179
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 206, 0, 19, 18, 243
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Pages.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Payment\Payment.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 0, 1, 77
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Payment\Payment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 169, 0, 1, 9, 179
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Payment\PaypalForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 2, 1, 78
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Payment\StripeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 85, 0, 1, 11, 97
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Payment\components\PaymentOption.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Product\Product.css", "CSS", 0, 0, 0, 0, 50, 0, 0, 0, 3, 53
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Product\Product.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Review\Review.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Review\Review.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 1, 6, 114
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Store\Store.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 2, 46
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Store\Store.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 1, 7, 50
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\Verified.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 1, 0, 27
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\View\View.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\pages\View\View.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 2, 54
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\root.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\frontend\src\utils.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 2, 6, 106
"c:\Users\migue\Desktop\Work\GitHub\DaniMERN\readme.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 2054, 40, 4, 37026, 718, 1541, 12, 121, 397, 41913
